id,occupationTitle,abbreviatedName,category,employment2016Thousands,employment2026Thousands,employmentChange20162026Percent,occupationalOpenings20162026AnnualAverageThousands,MedianAnnualWage,asCode,typicalEntryLevelEducation,educationCode,workExperienceInARelatedOccupation,workExCode,typicalOnTheJobTraining,trCode,createdAt,updatedAt
76,"Electronics engineers, except computer    * Antenna Engineer* Circuit Design Engineer* Electronic Design Automation Engineer* Electronic Engineer* Electronic Parts Designer* Telecommunication Engineer","Electronics engineers",Engineering,136.3,141.3,3.7,9.2,"102,180","100,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
77,"Chemical engineers    * Absorption and Adsorption Engineer* Chemical Process Engineer* Chemical Research Engineer* Fuels Engineer* Oxidation Engineer* Plastics Engineer* Polymerization Engineer* Refinery Process Engineer","Chemical engineers    ",Engineering,32.7,35.1,7.5,2.4,"102,160","100,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
78,"Software developers, applications    * Application Integration Engineer* Applications Developer* Computer Applications Developer* Computer Applications Engineer* Database Developer* Software Applications Architect* Software Applications Designer* Software Applications Engineer","Software developers","Information Technology",831.3,1,30.7,85.7,"101,790","100,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
79,"Actuaries    * Actuarial Associate* Actuarial Mathematician* Health Actuary* Insurance Actuary* Pricing Actuary* Product Development Actuary","Actuaries    ",Math,23.6,28.9,22.5,2.1,"101,560","100,000","Bachelor's degree",3,None,4,"Long-term on-the-job training",3,NULL,NULL
80,"Astronomers    * Astronomer* Astrophysicist","Astronomers    ",Science,2,2.2,10,0.2,"100,590","100,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
81,"Nurse midwives    * Certified Nurse Midwife* Certified Nurse Midwife (CNM)","Nurse midwives    ",Medical,6.5,7.8,20.7,0.5,"100,590","100,000","Master's degree",2,None,4,None,6,NULL,NULL
82,"Industrial production managers    * Industrial Production Manager* Manufacturing Director* Plant Chief* Plant Manager* Plant Superintendent* Production Control Manager","Industrial production managers    ",Management,170.6,169.7,-0.5,11.6,"100,580","100,000","Bachelor's degree",3,"5 years or more",1,None,6,NULL,NULL
83,"General and operations managers    * Department Store General Manager* General Manager* General Superintendent* Manufacturing Operations Manager* Operations Manager* Radio Station Manager* Television Station Manager","General and operations managers    ",Management,2,2,9.1,210.7,"100,410","100,000","Bachelor's degree",3,"5 years or more",1,None,6,NULL,NULL
84,"Materials scientists    * Materials Scientist* Metal Alloy Scientist* Plastics Scientist","Materials scientists    ",Science,7.9,8.5,7.1,0.8,"99,530","80,000-99,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
85,"Sales engineers    * Aerospace Products Sales Engineer* Missile Navigation Systems Sales Engineer* Nuclear Equipment Sales Engineer","Sales engineers    ","Sales & Marketing",74.9,80.1,6.9,8.3,"98,720","80,000-99,000","Bachelor's degree",3,None,4,"Moderate-term on-the-job training",4,NULL,NULL
86,"Engineering teachers, postsecondary    * Aeronautical Engineering Professor* Ceramic Engineering Professor* Chemical Engineering Professor* Civil Engineering Professor* Electrical Engineering Professor* Electronics Engineering Professor* Industrial Engineering Professor* Manufacturing Engineering Professor* Marine Engineering Professor* Mechanical Engineering Professor* Petroleum Engineering Professor","Engineering teachers",Education,47.6,54.6,14.6,4.5,"98,360","80,000-99,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
87,"Economics teachers, postsecondary    * Agricultural Economics Professor* Econometrics Professor* Industrial Economics Professor* Labor Economics Professor* Macroeconomics Professor* Microeconomics Professor","Economics teachers",Education,16.5,18.3,10.6,1.5,"98,350","80,000-99,000","Doctoral or professional degree",1,None,4,None,6,NULL,NULL
88,"Medical and health services managers    * Clinic Director* Clinical Services Director* Emergency Medical Service Coordinator* Health Care Manager* Health Services Administrator* Health Services Director* Healthcare Administrator* Healthcare Manager* Hospice Director* Hospice Plan Administrator* Hospital Administrator* Hospital Director* Medical Director* Medical Records Administrator* Medical and Health Information Manager* Mental Health Program Manager* Nursing Home Manager* Nursing Service Dir","Medical and health services managers    ",Medical,352.2,424.3,20.5,36.7,"98,350","80,000-99,000","Bachelor's degree",3,"Less than 5 years",2,None,6,NULL,NULL
89,"Health specialties teachers, postsecondary    * Clinical Laboratory Science Professor* Clinical Sciences Professor* Dentistry Professor* Gastroenterology Professor* Neurology Professor* Nutrition Professor* Occupational Therapy Professor* Optometry Professor* Pharmacology Professor* Physical Therapy Professor* Podiatric Medicine Professor* Podiatry Professor* Public Health Professor","Health specialties teachers",Education,233.5,294,25.9,25.8,"97,870","80,000-99,000","Doctoral or professional degree",1,"Less than 5 years",2,None,6,NULL,NULL
90,"Psychologists, all other    * Developmental Psychologist* Experimental Psychologist* Forensic Psychologist* Neuropsychologist* Psychometrist* Psychotherapist* Rehabilitation Psychologist* Social Psychologist* Sports Psychologist",Psychologists,Medical,17.4,19.2,10.5,1.3,"97,740","80,000-99,000","Master's degree",2,None,4,Internship/residency,1,NULL,NULL
91,"Engineers, all other    * Corrosion Control Engineer* Mathematical Engineer* Optical Engineer* Ordnance Engineer* Photonics Engineer* Salvage Engineer",Engineers,Engineering,132.5,141,6.4,9.5,"97,250","80,000-99,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
92,"Information security analysts    * Computer Security Specialist* Computer Systems Security Analyst* Information Security Analyst* Information Systems Security Analyst* Internet Security Specialist* Network Security Analyst","Information security analysts    ","Information Technology",100,128.5,28.5,10.4,"95,510","80,000-99,000","Bachelor's degree",3,"Less than 5 years",2,None,6,NULL,NULL
93,"Electrical engineers    * Electrical Design Engineer* Electrical Engineer* Electrical Systems Engineer* Illuminating Engineer* Power Distribution Engineer","Electrical engineers    ",Engineering,188.3,204.5,8.6,13.9,"95,060","80,000-99,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
94,"Administrative law judges, adjudicators, and hearing officers    * Appeals Examiner* Appeals Referee* Appellate Conferee* Hearing Examiner* Hearing Officer* Justice of The Peace* Traffic Court Referee","Administrative law judges",Law,15.4,16,4,0.7,"94,790","80,000-99,000","Doctoral or professional degree",1,"5 years or more",1,"Short-term on-the-job training",5,NULL,NULL
95,"Materials engineers    * Automotive Sheet Metal Engineer* Ceramic Engineer* Forensic Materials Engineer* Glass Science Engineer* Metallographer* Metallurgical Engineer* Metallurgist* Welding Engineer","Materials engineers    ",Engineering,27,27.5,1.6,1.9,"94,610","80,000-99,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
96,"Education administrators, elementary and secondary school    * Elementary School Principal* High School Principal* Junior High School Principal* K-12 School Principal* K-8 School Principal* Middle School Principal* Secondary School Principal","Education administrators",Education,251.3,271.1,7.9,21.2,"94,390","80,000-99,000","Master's degree",2,"5 years or more",1,None,6,NULL,NULL
97,"Mining and geological engineers, including mining safety engineers    * Geophysical Engineer* Mineral Engineer* Mining Engineer* Seismic Engineer","Mining and geological engineers",Engineering,7.3,7.9,8.2,0.6,"94,240","80,000-99,000","Bachelor's degree",3,None,4,None,6,NULL,NULL
98,"Administrative services managers    * Administrative Services Manager* Business Office Manager* Business Unit Manager* Facilities Manager* Records Management Director* Records and Information Manager","Administrative services managers    ",Management,281.7,310.2,10.1,26.2,"94,020","80,000-99,000","Bachelor's degree",3,"Less than 5 years",2,None,6,NULL,NULL
99,"Nuclear power reactor operators    * Nuclear Control Room Operator* Nuclear Reactor Operator* Nuclear Station Operator* Reactor Operator","Nuclear power reactor operators    ","Skilled Labor - Trades",7,6.3,-10.2,0.5,"93,370","80,000-99,000","High school diploma or equivalent",7,None,4,"Long-term on-the-job training",3,NULL,NULL
100,"Art directors    * Art Director* Magazine Designer","Art directors    ","Art & Design",90.3,95.2,5.4,7.7,"92,500","80,000-99,000","Bachelor's degree",3,"5 years or more",1,None,6,NULL,NULL
101,"Transportation, storage, and distribution managers    * Airport Manager* Cold Storage Supervisor* Distribution Center Manager* Logistics Manager* Logistics Supply Officer* Marine Oil Terminal Superintendent* Traffic Safety Administrator* Transportation Manager* Warehouse Manager* Warehouse Operations Manager",Transportation,Management,115.5,123.3,6.7,9.7,"92,460","80,000-99,000","High school diploma or equivalent",7,"5 years or more",1,None,6,NULL,NULL
102,"Education administrators, postsecondary    * Adult Basic Education Manager* Continuing Education Director* Graduate School Dean* Graduate Studies Dean* Provost* University Administrator* University Dean","Education administrators",Education,180.1,198.3,10.1,15.7,"92,360","80,000-99,000","Master's degree",2,"Less than 5 years",2,None,6,NULL,NULL
