id,occupationTitle,abbreviatedName,category,employment2016Thousands,employment2026Thousands,employmentChange20162026Percent,occupationalOpenings20162026AnnualAverageThousands,MedianAnnualWage,asCode,typicalEntryLevelEducation,educationCode,workExperienceInARelatedOccupation,workExCode,typicalOnTheJobTraining,trCode,createdAt,updatedAt
444,"Traffic technicians    * Highway Traffic Control Technician* Traffic Engineering Technician* Traffic Signal Technician* Transportation Planning Technician* Transportation Technician","Traffic technicians    ",Transportation,6.6,7.2,9.1,0.8,"45,670","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
445,"Insulation workers, mechanical    * Boiler Coverer* Heat and Frost Insulator* Pipe Coverer* Pipe Insulator* Refrigeration Insulator* Sheet Metal Insulator","Insulation workers","Skilled Labor - Trades",28.6,31.4,9.7,3.4,"45,550","30,000-49,999","High school diploma or equivalent",7,None,4,Apprenticeship,2,NULL,NULL
446,"Maintenance workers, machinery    * Crane Oiler","Maintenance workers","Skilled Labor - Trades",89.7,94.7,5.6,9.8,"45,540","30,000-49,999","High school diploma or equivalent",7,None,4,"Long-term on-the-job training",3,NULL,NULL
447,"Environmental science and protection technicians, including health    * Air Quality Technician* Environmental Compliance Technician* Environmental Science Technician* Groundwater Monitoring Technician* Infectious Waste Technician* Pollution Control Technician* Public Health Sanitarian Technician* Radon Inspector* Waste Minimization Technician","Environmental science and protection technicians",Science,34.6,38.8,12.1,4.6,"45,490","30,000-49,999","Associate's degree",4,None,4,None,6,NULL,NULL
448,"Carpenters    * Beam Builder* Building Carpenter* Construction Carpenter* Counter Installer* Custom Wood Stair Builder* Finish Carpenter* Hardwood Floor Installer* House Carpenter* Wood Floor Layer","Carpenters    ","Skilled Labor - Trades",1,1,8.2,104.4,"45,170","30,000-49,999","High school diploma or equivalent",7,None,4,Apprenticeship,2,NULL,NULL
449,"Licensed practical and licensed vocational nurses    * LP Nurse* LPN* LVN* Licensed Practical Nurse* Licensed Vocational Nurse* Pediatric Licensed Practical Nurse* Triage Licensed Practical Nurse","Licensed practical and licensed vocational nurses    ",Medical,724.5,813.4,12.3,62.7,"45,030","30,000-49,999","Postsecondary nondegree award",5,None,4,None,6,NULL,NULL
450,"Patternmakers, metal and plastic    * Metal Patternmaker",Patternmakers,"Skilled Labor - Trades",3.4,2.9,-15.5,0.3,"45,030","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
451,"Legal secretaries    * Accredited Legal Secretary* Certified Legal Secretary Specialist* Law Secretary* Legal Administrative Assistant","Legal secretaries    ",Business,194.7,157.5,-19.1,15,"44,730","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
452,"Credit counselors    * Credit Counselor* Debt Management Counselor* Financial Assistance Advisor* Loan Counselor","Credit counselors    ",Business,38.3,43.6,13.8,3.8,"44,710","30,000-49,999","Bachelor's degree",3,None,4,"Moderate-term on-the-job training",4,NULL,NULL
453,"Motorboat operators    * Launch Operator* Motorboat Operator* Outboard Motorboat Operator* Speedboat Driver* Speedboat Operator* Water Taxi Ferry Operator* Water Taxi Operator","Motorboat operators    ",Transportation,3.6,3.9,7.6,0.4,"44,600","30,000-49,999","Postsecondary nondegree award",5,"Less than 5 years",2,None,6,NULL,NULL
454,"Eligibility interviewers, government programs    * Medicare Interviewer* Public Housing Interviewer* Social Security Benefits Interviewer* Unemployment Benefits Claims Taker* Welfare Interviewer","Eligibility interviewers",Government,143.1,151.6,6,13.6,"44,400","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
455,"Child, family, and school social workers    * C-CYFSW* Certified Children, Youth, and Family Social Worker* Child Abuse Worker* Child Protective Services Social Worker* Child Protective Services Specialist* Child Welfare Social Worker* Child Welfare Worker* Child and Family Services Worker* Family Preservation Caseworker* Family Preservation Worker* Family Service Caseworker* Foster Care Social Worker* Foster Care Worker* School Social Worker",Child,Medical,317.6,362.6,14.2,38.3,"44,380","30,000-49,999","Bachelor's degree",3,None,4,None,6,NULL,NULL
456,"Radio operators    * Airline Radio Operator* Continuous Wave Operator* Radio Officer* Radio Operator* Radiophone Operator* Radiotelephone Operator","Radio operators    ",Media,0.9,0.9,-1,0.1,"44,330","30,000-49,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
457,"Computer operators    * Computer Peripheral Equipment Operator* Computing Machine Operator* Console Operator* Information Systems Operator","Computer operators    ","Information Technology",51.5,39.7,-22.8,3.4,"44,270","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
458,"Payroll and timekeeping clerks    * Flight Crew Time Clerk* Payroll Bookkeeper* Personnel Scheduler* Time Clerk* Time and Attendance Clerk* Timekeeper","Payroll and timekeeping clerks    ",Business,166.3,164.7,-0.9,16.1,"43,890","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
459,"Earth drillers, except oil and gas    * Blast Hole Driller* Churn Drill Operator* Churn Driller* Earth Auger Operator* Earth Boring Machine Operator* Hard Rock Drill Operator* Rock Drill Operator","Earth drillers","Skilled Labor - Trades",19.6,23.5,19.6,2.6,"43,850","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
460,"Biological technicians    * Bacteriology Technician* Biochemistry Technician* Biology Laboratory Assistant* Marine Fisheries Technician* Microbiology Technician* Wildlife Technician","Biological technicians    ",Science,82.1,90.4,10.2,8.9,"43,800","30,000-49,999","Bachelor's degree",3,None,4,None,6,NULL,NULL
461,"Correctional officers and jailers    * Certified Detention Deputy* Convict Guard* Correction Officer* Correctional Guard* Correctional Sergeant* Detention Deputy* Detention Officer* Jail Guard* Juvenile Corrections Officer* Penal Officer* Prison Guard* Prison Officer","Correctional officers and jailers    ",Government,450,415.5,-7.7,31.3,"43,540","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
462,"Pump operators, except wellhead pumpers    * Acid Pump Operator* Brewery Pumper* Concrete Pump Operator* Fluid Pump Operator","Pump operators","Skilled Labor - Trades",11.9,13.5,13.8,1.7,"43,500","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
463,"Agricultural inspectors    * Cattle Examiner* Cattle Inspector* Grain Sampler* Meat and Poultry Inspector* Milk Tester* Wheat Inspector","Agricultural inspectors    ",Farming,15.6,16.3,4.6,2.2,"43,390","30,000-49,999","Bachelor's degree",3,None,4,"Moderate-term on-the-job training",4,NULL,NULL
464,"Engine and other machine assemblers    * Aircraft Engine Assembler* Assembling Motor Builder* Clutch Housing Assembler* Engine Builder* Gas Turbine Assembler* Generator Assembler* Jet Engine Assembler* Machine Builder* Sewing Machine Assembler* Steam Turbine Assembler* Truck Transmission Assembler* Truck Transmission Builder","Engine and other machine assemblers    ","Skilled Labor - Trades",38,31.5,-17.2,2.8,"43,390","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
465,"Counselors, all other    * AIDS Counselor* Anger Control Counselor* Grief Counselor* HIV Counselor* Sexual Assault Counselor",Counselors,Medical,31.8,36.3,14.3,3.9,"43,370","30,000-49,999","Master's degree",2,None,4,None,6,NULL,NULL
466,"Surveying and mapping technicians    * Cartographic Aide* Cartographic Technician* Field Map Technician* GIS Mapping Technician* Geophysical Prospecting Surveying Technician* Mapping Technician* Mineral Surveying Technician* Surveying Technician* Topography Technician","Surveying and mapping technicians    ","Art & Design",60.2,66.6,10.6,7.2,"43,340","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
467,"Mental health and substance abuse social workers    * Community Mental Health Social Worker* Drug Abuse Social Worker* Psychiatric Social Worker* Psychotherapist Social Worker","Mental health and substance abuse social workers    ",Medical,123.9,147.9,19.3,15.9,"43,250","30,000-49,999","Master's degree",2,None,4,Internship/residency,1,NULL,NULL
468,"Dredge operators    * Dredge Deckhand* Dredge Engineer* Dredge Mate* Dredge Operator* Dredger","Dredge operators    ","Skilled Labor - Trades",1.8,1.9,5,0.2,"43,230","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
469,"Hoist and winch operators    * Hoist Operator* Winch Derrick Operator* Winch Operator","Hoist and winch operators    ","Skilled Labor - Trades",2.9,2.9,-0.7,0.4,"43,210","30,000-49,999","No formal educational credential",8,None,4,"Short-term on-the-job training",5,NULL,NULL
470,"Education, training, and library workers, all other    * General Educational Development (GED) Examiner* Individualized Education Plan (IEP) Aide* Scholastic Aptitude Test (SAT) Grader",Education,Education,112.7,124.9,10.8,11.7,"43,140","30,000-49,999","Bachelor's degree",3,None,4,None,6,NULL,NULL
471,"Bailiffs    * Bailiff* City Bailiff* County Bailiff* Court Bailiff* Court Officer* Court Security Officer* Deputy Bailiff","Bailiffs    ",Government,18.6,18.2,-2.1,1.4,"42,960","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
472,"Drywall and ceiling tile installers    * Acoustical Ceiling Installer* Drywall Applicator* Drywall Finisher* Drywall Hanger* Drywall Installer* Drywall Sander* Drywall Stripper* Drywall Worker* Sheet Rock Applier* Sheet Rock Hanger* Sheet Rock Installer* Sheet Rock Worker","Drywall and ceiling tile installers    ","Skilled Labor - Trades",119.5,120.7,1,10.5,"42,860","30,000-49,999","No formal educational credential",8,None,4,"Moderate-term on-the-job training",4,NULL,NULL
473,"Embalmers    * Anatomical Embalmer* Arterial Embalmer* Embalmer Apprentice* Licensed Embalmer* Restorative Art Embalmer","Embalmers    ",Service,3.7,3.7,-0.8,0.6,"42,780","30,000-49,999","Associate's degree",4,None,4,"Long-term on-the-job training",3,NULL,NULL
474,"Milling and planing machine setters, operators, and tenders, metal and plastic    * Metal Milling Machine Operator* Metal Rotary Head Milling Machine Setup Operator* Plastic Thread Milling Machine Setup Operator","Milling and planing machine setters","Skilled Labor - Trades",17.6,14.2,-19.3,1.3,"42,650","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
475,"Costume attendants    * Costume Attendant* Theatrical Wardrobe Attendant* Theatrical Wardrobe Dresser* Wardrobe Assistant* Wardrobe Attendant* Wardrobe Custodian* Wardrobe Dresser* Wardrobe Supervisor","Costume attendants    ",Service,6.6,7.3,9.7,1.6,"42,620","30,000-49,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
476,"Machinists    * Automotive Machinist* CNC Machinist* Gear Machinist* Manual Lathe Machinist* Precision Machinist* Production Machinist* Tool Room Machinist","Machinists    ","Skilled Labor - Trades",396.2,404.1,2,40.7,"42,600","30,000-49,999","High school diploma or equivalent",7,None,4,"Long-term on-the-job training",3,NULL,NULL
477,"Electric motor, power tool, and related repairers    * AC/DC Rewinder* Armature Rewinder* Battery Repairer* Dynamo Repairer* Electric Motor Fitter* Electric Motor Rewinder* Electrical Parts Reconditioner","Electric motor","Skilled Labor - Trades",17.3,18.5,7,1.8,"42,580","30,000-49,999","High school diploma or equivalent",7,"Less than 5 years",2,"Moderate-term on-the-job training",4,NULL,NULL
478,"Glaziers    * Leaded Glass Installer* Plate Glass Installer* Stained Glass Glazier* Stained Glass Installer* Stained Glass Joiner* Window Glazier","Glaziers    ","Skilled Labor - Trades",50.1,55.3,10.5,6.5,"42,580","30,000-49,999","High school diploma or equivalent",7,None,4,Apprenticeship,2,NULL,NULL
479,"Excavating and loading machine and dragline operators    * Back Hoe Operator* Backhoe Operator* Dragline Oiler* Earth Moving Equipment Operator* End Loader Operator* Excavator* Excavator Backhoe Operator* Payloader Operator* Shovel Operator* Trenching Machine Operator* Yard Loader Operator","Excavating and loading machine and dragline operators    ","Skilled Labor - Trades",50.6,54.7,8.1,6.1,"42,500","30,000-49,999","High school diploma or equivalent",7,"Less than 5 years",2,"Moderate-term on-the-job training",4,NULL,NULL
480,"Heavy and tractor-trailer truck drivers    * Auto Carrier Driver* Cement Truck Driver* Concrete Mixer Driver* Concrete Mixer Truck Driver* Fuel Truck Driver* Garbage Truck Driver* Line Haul Driver* Logging Truck Driver* Moving Van Driver* Over-the-Road Driver* Semi-Truck Driver* Tanker Driver* Tow Truck Operator","Heavy and tractor-trailer truck drivers    ",Transportation,1,1,5.8,213.5,"42,480","30,000-49,999","Postsecondary nondegree award",5,None,4,"Short-term on-the-job training",5,NULL,NULL
481,"Desktop publishers    * DTP Operator* Desktop Publisher* Desktop Publishing Specialist* Electronic Console Display Operator* Electronic Imager* Electronic Pagination System Operator* Electronic Publisher* Electronic Publishing Specialist","Desktop publishers    ","Information Technology",14.6,12.5,-14,1.2,"42,350","30,000-49,999","Associate's degree",4,None,4,"Short-term on-the-job training",5,NULL,NULL
482,"Audio and video equipment technicians    * Audio-Visual Production Specialist* Event AV Operator* Event Crew Technician* Multimedia Production Assistant* Video Control Operator* Video Equipment Technician* Video Production Assistant","Audio and video equipment technicians    ","Information Technology",83.3,94,12.9,9,"42,190","30,000-49,999","Postsecondary nondegree award",5,None,4,"Short-term on-the-job training",5,NULL,NULL
483,"Automotive body and related repairers    * Auto Body Customizer* Auto Body Technician* Auto Body Worker* Auto Bumper Straightener* Body Shop Worker* Body and Frame Technician* Car Refinisher* Truck Body Repairer* Vehicle Body Sander","Automotive body and related repairers    ","Skilled Labor - Trades",160.4,174.1,8.5,17.1,"41,970","30,000-49,999","High school diploma or equivalent",7,None,4,"Long-term on-the-job training",3,NULL,NULL
484,"Procurement clerks    * Procurement Assistant* Procurement Clerk* Purchasing Assistant* Purchasing Clerk","Procurement clerks    ",Business,74.9,71.7,-4.3,7.5,"41,910","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
485,"Painters, transportation equipment    * Aircraft Painter* Auto Body Painter* Auto Painter* Automobile Body Painter* Automobile Refinisher* Automotive Paint Technician* Automotive Refinish Technician* Automotive Spray Painter* Boat Painter* Railroad Car Painter* Tactical Vehicle Painter* Vehicle Painter",Painters,"Skilled Labor - Trades",58.1,61.9,6.6,6.6,"41,850","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
486,"Cargo and freight agents    * Cargo Agent* Cargo Router* Freight Agent* Freight Shipping Agent* Ramp Service Agent","Cargo and freight agents    ",Service,89.8,99.1,10.4,8.6,"41,820","30,000-49,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
487,"Health technologists and technicians, all other    * Dialysis Technician* Electroencephalogram (EEG) Technologist* Electroneurodiagnostic Technologist* Encephalographer* Perfusionist* Polysomnograph Tech","Health technologists and technicians",Medical,127.8,152.9,19.7,11,"41,800","30,000-49,999","Postsecondary nondegree award",5,None,4,None,6,NULL,NULL
488,"Tile and marble setters    * Ceramic Tile Installer* Hard Tile Setter* Marble Ceiling Installer* Parquet Floor Layer* Tile Installer* Tile Mason* Wood Tile Installer","Tile and marble setters    ","Skilled Labor - Trades",58.3,64,9.7,5.7,"41,680","30,000-49,999","No formal educational credential",8,None,4,"Long-term on-the-job training",3,NULL,NULL
489,"Community and social service specialists, all other    * Community Organization Worker* Veterans Service Officer","Community and social service specialists",Government,100.3,113.5,13.2,14.1,"41,570","30,000-49,999","Bachelor's degree",3,None,4,None,6,NULL,NULL
490,"Communications equipment operators, all other    * Communications Equipment Operator* Facsimile Machine Operator* Fax Machine Operator* Telegraph and Teletype Operator* Telex Operator","Communications equipment operators",Communication,2.4,2.6,10.4,0.3,"41,480","30,000-49,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
491,"Hazardous materials removal workers    * Asbestos Abatement Worker* Asbestos Remover* Decontamination Worker* Hazard Waste Handler* Hazmat Technician* Irradiated Fuel Handler* Lead Abatement Worker* Radiological Control and Safety Technician","Hazardous materials removal workers    ","Skilled Labor - Trades",46.2,54.1,17.2,6.7,"41,400","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
492,"Metal-refining furnace operators and tenders    * Electric Arc Furnace Operator* Melt Room Operator* Smelter Operator","Metal-refining furnace operators and tenders    ","Skilled Labor - Trades",17.7,16.3,-8.1,1.5,"41,300","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
493,"Bus drivers, transit and intercity    * Charter Coach Driver* Motor Coach Bus Driver* Motor Coach Driver* Motor Coach Tour Operator* Public Transit Bus Driver* Public Transit Trolley Driver","Bus drivers",Transportation,179.3,195.4,9,24,"40,780","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
494,"Camera and photographic equipment repairers    * Aircraft Photographic Equipment Repairer* Camera Machinist* Camera Repair Technician* Camera Repairer* Photographic Equipment Technician","Camera and photographic equipment repairers    ","Skilled Labor - Trades",4,4.1,2.3,0.4,"40,770","30,000-49,999","High school diploma or equivalent",7,None,4,"Long-term on-the-job training",3,NULL,NULL
495,"Plasterers and stucco masons    * Dry Plasterer* Journey Level Plasterer* Molding Plasterer* Ornamental Plasterer* Plasterer Apprentice* Stucco Plasterer* Stucco Worker* Swimming Pool Plasterer","Plasterers and stucco masons    ","Skilled Labor - Trades",27.7,28.8,3.9,2.7,"40,750","30,000-49,999","No formal educational credential",8,None,4,"Long-term on-the-job training",3,NULL,NULL
496,"Sailors and marine oilers    * Able Seaman* Deck Cadet* Deck Hand* Deckhand* Merchant Mariner* Merchant Seaman* Ordinary Seaman* Sailor* Vessel Ordinary Seaman","Sailors and marine oilers    ",Transportation,33.8,36.4,7.6,4.4,"40,730","30,000-49,999","No formal educational credential",8,None,4,"Moderate-term on-the-job training",4,NULL,NULL
497,"Fallers    * Lumberjack* Pulpwood Cutter* Timber Cutter* Timber Faller* Timber Feller","Fallers    ",Farming,7.5,6.3,-16.2,0.8,"40,690","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
498,"Locksmiths and safe repairers    * Key Maker* Keysmith* Lock Expert* Lock Fitter* Lock Setter* Lock Technician* Locksmith* Safe and Vault Installer* Safe and Vault Mechanic","Locksmiths and safe repairers    ","Skilled Labor - Trades",28.7,27.8,-3.3,2.5,"40,680","30,000-49,999","High school diploma or equivalent",7,None,4,"Long-term on-the-job training",3,NULL,NULL
499,"Museum technicians and conservators    * Art Conservator* Art Preparator* Conservation Technician* Ethnographic Materials Conservator* Museum Exhibit Technician* Objects Conservator* Paintings Conservator* Paper Conservator* Textile Conservator","Museum technicians and conservators    ","Museum  & Libraries",11.8,13.3,12.4,1.4,"40,670","30,000-49,999","Bachelor's degree",3,None,4,None,6,NULL,NULL
500,"Cement masons and concrete finishers    * Cement Mason* Cement Patcher* Concrete Finisher* Concrete Floor Installer* Concrete Mason* Concrete Smoother* Concrete Swimming Pool Installer","Cement masons and concrete finishers    ","Skilled Labor - Trades",178.9,201.5,12.6,22.4,"40,650","30,000-49,999","No formal educational credential",8,None,4,"Moderate-term on-the-job training",4,NULL,NULL
501,"Terrazzo workers and finishers    * Granite-Chip Terrazzo  Finisher* Marble-Chip Terrazzo Worker* Onyx-Chip Terrazzo Worker* Rustic Terrazzo Setter* Terrazzo Finisher* Terrazzo Grinder* Terrazzo Installer* Terrazzo Layer* Terrazzo Setter* Terrazzo Worker","Terrazzo workers and finishers    ","Skilled Labor - Trades",3.6,4,12.3,0.4,"40,590","30,000-49,999","High school diploma or equivalent",7,None,4,Apprenticeship,2,NULL,NULL
502,"Transportation security screeners    * Airport Baggage Screener* Airport Security Screener* Flight Security Specialist* Transportation Security Administration (TSA) Screener* Transportation Security Officer","Transportation security screeners    ",Security,46.1,47.3,2.6,4.2,"40,580","30,000-49,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
503,"Fabric and apparel patternmakers    * Clothing Patternmaker* Embroidery Patternmaker* Fabric Pattern Grader","Fabric and apparel patternmakers    ","Skilled Labor - Trades",5.5,4.6,-16.1,0.5,"40,460","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
504,"Welders, cutters, solderers, and brazers    * Aluminum Welder* Arc Welder* Brazer* Certified Maintenance Welder* Cutting Torch Operator* Pipe Welder* Silver Solderer* Sub Arc Operator* Welder Fitter* Wire Welder",Welders,"Skilled Labor - Trades",404.8,427.3,5.6,45.8,"40,240","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
505,"Tire builders    * Auto Tire Recapper* Retreader* Tire Finisher* Tire Molder* Tire Retreader","Tire builders    ","Skilled Labor - Trades",22.3,19.6,-12.1,2.1,"40,230","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
506,"Floor layers, except carpet, wood, and hard tiles    * Composition Floor Layer* Cork Floor Installer* Laminate Floor Installer* Linoleum Installer* Resilient Tile Installer* Shock-Absorption Floor Layer* Vinyl Flooring Installer* Vinyl Installer","Floor layers","Skilled Labor - Trades",16.3,17.9,9.7,1.6,"40,040","30,000-49,999","No formal educational credential",8,None,4,"Moderate-term on-the-job training",4,NULL,NULL
507,"Massage therapists    * Deep Tissue Massage Therapist* Licensed Massage Practitioner* Licensed Massage Therapist* Massage Therapist* Masseur* Masseuse* Massotherapist* Rolfer* Swedish Masseuse","Massage therapists    ",Medical,160.3,202.4,26.3,22.6,"39,990","30,000-49,999","Postsecondary nondegree award",5,None,4,None,6,NULL,NULL
508,"Financial clerks, all other    * Bank Vault Attendant* Bank Vault Clerk* Bank Vault Custodian* Financial Operations Clerk* Financial Reserve Clerk* Safe Deposit Clerk* Safety Deposit Clerk* Vault Teller","Financial clerks",Finance,36.6,40.2,9.9,4.3,"39,970","30,000-49,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
509,"Agricultural and food science technicians    * Agriculture Technician* Agronomy Technician* Artificial Breeding Technician* Cotton Program Technician* Dairy Lab Technician* Dairy Technician* Dairy Technologist* Feed Mill Lab Technician* Feed Research Technician* Food Quality Technician* Food Science Technician* Seed Analyst* Sugarcane Research Technician* Weed Science Research Technician","Agricultural and food science technicians    ",Science,27.5,29.2,6.3,3,"39,910","30,000-49,999","Associate's degree",4,None,4,"Moderate-term on-the-job training",4,NULL,NULL
510,"Prepress technicians and workers    * Digital Proofing and Platemaker* Electronic Pre-Press Technician* Photoengraver* Plate Mounter* Pre-Press Proofer* Prepress Stripper* Type Setter","Prepress technicians and workers    ","Skilled Labor - Trades",34.6,27.7,-19.9,3,"39,910","30,000-49,999","Postsecondary nondegree award",5,None,4,None,6,NULL,NULL
511,"Information and record clerks, all other    * Election Clerk* Flight Crew Scheduler* Probate Clerk* Student Admissions Clerk","Information and record clerks",Service,178.1,191.7,7.6,21.9,"39,860","30,000-49,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
512,"Logging workers, all other    * Log Cutter* Log Peeler* Log Roper* Rigging Slinger* Timber Hand","Logging workers",Farming,4.5,3.9,-14.7,0.5,"39,740","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
513,"Word processors and typists    * Clerk Typist* Dictaphone Typist* Legal Transcriptionist* Statistical Typist* Transcription Typist* Typist* Word Processor","Word processors and typists    ","Information Technology",74.9,50.1,-33.1,4.5,"39,740","30,000-49,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
514,"Police, fire, and ambulance dispatchers    * 911 Dispatcher* 911 Operator* Ambulance Dispatcher* Emergency Communications Dispatcher* Emergency Communications Operator* Emergency Operator* Emergency Telecommunications Dispatcher* Fire Dispatcher* Police Dispatcher* Police Radio Dispatcher",Police,Government,98.6,106.7,8.3,10,"39,640","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
515,"Automotive service technicians and mechanics    * Auto Clutch Rebuilder* Auto Clutch Specialist* Auto Radiator Specialist* Auto Suspension and Steering Mechanic* Auto Transmission Specialist* Automotive Alignment Specialist* Automotive Brake Adjuster* Automotive Brake Specialist* Automotive Brake Technician* Automotive Fuel Injection Servicer* Automotive Fuel Systems Converter* Automotive Specialty Technician* Hybrid Car Mechanic* Motor Tune-Up Specialist","Automotive service technicians and mechanics    ","Skilled Labor - Trades",749.9,795.8,6.1,75.6,"39,550","30,000-49,999","Postsecondary nondegree award",5,None,4,"Short-term on-the-job training",5,NULL,NULL
516,"Mechanical door repairers    * Automatic Door Mechanic* Door Closer Mechanic* Garage Door Technician* Mechanical Door Repairer* Overhead Door Technician","Mechanical door repairers    ","Skilled Labor - Trades",20.4,22.5,10.2,1.8,"39,510","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
517,"Solar photovoltaic installers    * PV Installer* PV Panel Installer* Photovoltaic (PV) Installation Technician* Solar PV Installer","Solar photovoltaic installers    ","Skilled Labor - Trades",11.3,23.1,104.9,3,"39,490","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
518,"Human resources assistants, except payroll and timekeeping    * Employment Clerk* HR Clerk* Personnel Clerk","Human resources assistants",Business,141.5,138.9,-1.8,15.1,"39,480","30,000-49,999","Associate's degree",4,None,4,None,6,NULL,NULL
519,"Reporters and correspondents    * Book Critic* Book Reviewer* Columnist* Desk Reporter* Editorial Writer* Feature Writer* Film Critic* Foreign Correspondent* Investigative Reporter* Market News Reporter* Movie Critic* News Reporter* Newspaper Columnist* Newspaper Correspondent* Political Reporter* Press Writer* Society Reporter","Reporters and correspondents    ",Media,44.7,40.2,-10,3.7,"39,370","30,000-49,999","Bachelor's degree",3,None,4,None,6,NULL,NULL
520,"Farm equipment mechanics and service technicians    * Agricultural Equipment Mechanic* Combine Mechanic* Dairy Equipment Mechanic* Dairy Equipment Repairer* Harvester Mechanic* Irrigation Equipment Mechanic* Milking Machine Mechanic* Tractor Mechanic","Farm equipment mechanics and service technicians    ","Skilled Labor - Trades",42.5,45.7,7.6,4.5,"39,340","30,000-49,999","High school diploma or equivalent",7,None,4,"Long-term on-the-job training",3,NULL,NULL
521,"Bookkeeping, accounting, and auditing clerks    * Accounts Receivable Assistant* Accounts Receivable Clerk* Auditing Clerk* Bookkeeper* Fixed Capital Clerk* Foreign Exchange Position Clerk* Mortgage Accounting Clerk",Bookkeeping,Business,1,1,-1.5,186.4,"39,240","30,000-49,999","Some college, no degree",6,None,4,"Moderate-term on-the-job training",4,NULL,NULL
522,"Meter readers, utilities    * Electric Meter Reader* Gas Meter Reader* Water Meter Reader","Meter readers",Government,34.8,33.2,-4.4,2.3,"39,240","30,000-49,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
523,"Computer-controlled machine tool operators, metal and plastic    * Computer Numerically Controlled (CNC) Shot Peening Operator* Jig Boring Machine Operator for Metal* Metal CNC Operator* Numerical Control Machine Operator, Metal and Plastic* Plastic CNC Machine Operator* Welding Robot Operator","Computer-controlled machine tool operators","Skilled Labor - Trades",145.7,147.3,1.1,14.5,"39,230","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
524,"First-line supervisors of housekeeping and janitorial workers    * Building Cleaning Supervisor* Cleaning Staff Supervisor* Custodial Supervisor* Head Custodian* Head School Custodian* Janitor Supervisor* Maid Supervisor* Maintenance and Custodian Supervisor","First-line supervisors of housekeeping and janitorial workers    ",Service,243.5,267.6,9.9,30.8,"39,230","30,000-49,999","High school diploma or equivalent",7,"Less than 5 years",2,None,6,NULL,NULL
